ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D000019,D000019,0,0
D000019,D000020,1,1
D000019,D000021,1,1
D000020,D000020,0,0
D000021,D000021,0,0
D000067856,D000067856,0,0
D000067956,D000067956,0,0
D000068338,D000068338,0,0
D000068760,D000068760,0,0
D000068776,D000068776,0,0
D000068776,D000068796,1,1
D000068796,D000068796,0,0
D000072664,D000072664,0,0
D000074162,D000074162,0,0
D000074268,D000074268,0,0
D000074322,D000074322,0,0
D000074322,D000082082,1,1
D000075162,D000075162,0,0
D000075242,D000075242,0,0
D000075528,D000075528,0,0
D000075563,D000075563,0,0
D000077203,D000077203,0,0
D000077221,D000077221,0,0
D000077264,D000077264,0,0
D000077264,D002120,1,1
D000077264,D002121,1,1
D000077444,D000077444,0,0
D000078604,D000078604,0,0
D000079424,D000079424,0,0
D000080066,D000080066,0,0
D000080066,D003278,1,1
D000080066,D003282,1,1
D000080066,D008186,1,1
D000080066,D008600,1,1
D000081082,D000081082,0,0
D000081227,D000081227,0,0
D000081243,D000081243,0,0
D000082082,D000082082,0,0
D000082142,D000082142,0,0
D000084762,D000084762,0,0
D000084762,D000085683,1,1
D000084762,D000088802,1,1
D000084762,D017320,1,1
D000085683,D000085683,0,0
D000088802,D000088802,0,0
D000088902,D000088902,0,0
D000088962,D000088962,0,0
D000089162,D000089162,0,0
D000089162,D012076,1,1
D000089162,D064804,1,1
D000089322,D000089322,0,0
D000089502,D000089502,0,0
D000089582,D000089582,0,0
D000089964,D000089964,0,0
D000091062,D000091062,0,0
D000091203,D000091203,0,0
D000091362,D000091362,0,0
D000091369,D000091369,0,0
D000276,D000276,0,0
D000277,D000089582,1,1
D000277,D000277,0,0
D000305,D000305,0,0
D000305,D005938,1,1
D000316,D000316,0,0
D000316,D058646,1,1
D000316,D058647,1,1
D000317,D000317,0,0
D000317,D058668,1,1
D000317,D058669,1,1
D000318,D000318,0,0
D000318,D058665,1,1
D000318,D058666,1,1
D000318,D058667,1,1
D000319,D000319,0,0
D000319,D058671,1,1
D000319,D058672,1,1
D000319,D058673,1,1
D000322,D000316,1,1
D000322,D000318,1,1
D000322,D000322,0,0
D000322,D058646,2,2
D000322,D058647,2,2
D000322,D058665,2,2
D000322,D058666,2,2
D000322,D058667,2,2
D000373,D000373,0,0
D000373,D006388,1,1
D000427,D000427,0,0
D000451,D000451,0,0
D000477,D000477,0,0
D000477,D018906,1,1
D000563,D000563,0,0
D000602,D000074162,3,3
D000602,D000602,0,0
D000602,D000906,5,5
D000602,D000922,7,7
D000602,D001798,2,2
D000602,D005916,2,2
D000602,D007136,4,4
D000602,D007162,3,3
D000602,D010455,1,1
D000602,D011506,1,1
D000602,D012712,3,3
D000602,D015843,2,2
D000602,D018796,6,6
D000602,D053491,2,2
D000697,D000697,0,0
D000697,D001046,1,1
D000697,D003292,1,1
D000697,D019167,1,1
D000697,D064690,1,1
D000700,D000077221,1,1
D000700,D000700,0,0
D000700,D000701,2,2
D000700,D000894,2,2
D000700,D009294,1,1
D000700,D016861,3,3
D000700,D018712,1,1
D000700,D052246,4,4
D000700,D057133,1,1
D000700,D059846,1,1
D000701,D000701,0,0
D000726,D000726,0,0
D000726,D057466,1,1
D000726,D059002,1,1
D000728,D000728,0,0
D000759,D000759,0,0
D000777,D000777,0,0
D000777,D000778,3,3
D000777,D000779,1,1
D000777,D018681,1,1
D000777,D018685,2,2
D000777,D018686,2,2
D000777,D019162,1,1
D000778,D000778,0,0
D000779,D000779,0,0
D000806,D000075563,1,1
D000806,D000806,0,0
D000863,D000863,0,0
D000871,D000871,0,0
D000871,D000923,2,2
D000871,D000969,1,1
D000871,D000980,1,1
D000871,D005369,2,2
D000871,D012556,2,2
D000889,D000889,0,0
D000890,D000084762,2,2
D000890,D000085683,3,3
D000890,D000088802,3,3
D000890,D000563,3,3
D000890,D000871,2,2
D000890,D000890,0,0
D000890,D000891,1,1
D000890,D000892,1,1
D000890,D000900,1,1
D000890,D000904,3,3
D000890,D000923,4,4
D000890,D000935,1,1
D000890,D000962,3,3
D000890,D000969,3,3
D000890,D000977,1,1
D000890,D000980,3,3
D000890,D000981,2,2
D000890,D000993,2,2
D000890,D000994,3,3
D000890,D000995,2,2
D000890,D000998,1,1
D000890,D003049,3,3
D000890,D005369,4,4
D000890,D007917,2,2
D000890,D012556,4,4
D000890,D014344,3,3
D000890,D017320,3,4
D000890,D018894,2,2
D000890,D019380,3,3
D000890,D019428,4,4
D000890,D023581,3,4
D000890,D044966,2,2
D000890,D065093,2,2
D000890,D065100,4,4
D000890,D065147,2,2
D000891,D000891,0,0
D000892,D000892,0,0
D000893,D000079424,1,1
D000893,D000082142,1,1
D000893,D000088962,1,1
D000893,D000893,0,0
D000893,D000894,1,1
D000893,D016861,2,2
D000893,D052246,3,3
D000894,D000894,0,0
D000894,D016861,1,1
D000894,D052246,2,2
D000897,D000897,0,0
D000900,D000900,0,0
D000900,D000904,2,2
D000900,D000993,1,1
D000900,D000995,1,1
D000900,D007917,1,1
D000900,D065093,1,1
D000903,D000903,0,0
D000904,D000904,0,0
D000906,D000906,0,0
D000906,D000922,2,2
D000906,D018796,1,1
D000922,D000922,0,0
D000923,D000923,0,0
D000924,D000091362,1,1
D000924,D000924,0,0
D000924,D019161,1,1
D000925,D000925,0,0
D000925,D000991,1,1
D000925,D065427,2,2
D000927,D000927,0,0
D000928,D000928,0,0
D000928,D000929,1,1
D000928,D018687,1,1
D000929,D000929,0,0
D000930,D000930,0,0
D000931,D000931,0,0
D000932,D000932,0,0
D000933,D000933,0,0
D000934,D000934,0,0
D000935,D000935,0,0
D000959,D000959,0,0
D000960,D000091362,2,2
D000960,D000924,1,1
D000960,D000960,0,0
D000960,D008082,1,1
D000960,D019161,2,2
D000960,D054872,1,1
D000960,D058867,2,2
D000962,D000962,0,0
D000963,D000091362,3,3
D000963,D000924,2,2
D000963,D000960,1,1
D000963,D000963,0,0
D000963,D000964,1,1
D000963,D008082,2,2
D000963,D019161,3,3
D000963,D054872,2,2
D000963,D058867,3,3
D000964,D000964,0,0
D000969,D000969,0,0
D000969,D005369,1,1
D000970,D000067856,1,1
D000970,D000074322,1,1
D000970,D000082082,2,2
D000970,D000091203,1,1
D000970,D000903,1,1
D000970,D000970,0,0
D000970,D000972,1,1
D000970,D018931,1,1
D000970,D019653,1,1
D000970,D020533,1,1
D000970,D050256,1,1
D000970,D050257,2,2
D000970,D059003,1,1
D000970,D059004,2,2
D000970,D059005,2,2
D000972,D000972,0,0
D000975,D000975,0,0
D000975,D016166,1,1
D000977,D000563,2,2
D000977,D000871,1,1
D000977,D000923,3,3
D000977,D000962,2,2
D000977,D000969,2,2
D000977,D000977,0,0
D000977,D000980,2,2
D000977,D000981,1,1
D000977,D000994,2,2
D000977,D003049,2,2
D000977,D005369,3,3
D000977,D012556,3,3
D000977,D014344,2,2
D000978,D000978,0,0
D000978,D065098,1,1
D000978,D065105,1,1
D000980,D000923,1,1
D000980,D000980,0,0
D000980,D012556,1,1
D000981,D000563,1,1
D000981,D000962,1,1
D000981,D000981,0,0
D000981,D000994,1,1
D000981,D003049,1,1
D000981,D014344,1,1
D000982,D000982,0,0
D000986,D000986,0,0
D000988,D000988,0,0
D000988,D013078,1,1
D000988,D013089,1,1
D000988,D013092,1,1
D000991,D000991,0,0
D000991,D065427,1,1
D000993,D000993,0,0
D000994,D000994,0,0
D000995,D000904,1,1
D000995,D000995,0,0
D000996,D000996,0,0
D000998,D000084762,1,1
D000998,D000085683,2,2
D000998,D000088802,2,2
D000998,D000998,0,0
D000998,D017320,2,3
D000998,D018894,1,1
D000998,D019380,2,2
D000998,D019428,3,3
D000998,D023581,2,3
D000998,D044966,1,1
D000998,D065100,3,3
D000998,D065147,1,1
D001046,D001046,0,0
D001067,D001067,0,0
D001252,D001252,0,0
D001337,D000932,1,1
D001337,D001337,0,0
D001337,D001993,1,1
D001337,D004639,1,1
D001337,D005730,1,1
D001337,D005731,1,1
D001337,D008916,1,1
D001337,D009184,1,1
D001337,D010276,1,1
D001337,D010277,1,1
D001337,D013565,1,1
D001337,D013566,1,1
D001337,D016085,1,1
D001685,D000975,1,1
D001685,D001685,0,0
D001685,D016166,2,2
D001697,D001697,0,0
D001697,D002327,1,1
D001697,D012388,1,1
D001798,D000906,3,3
D001798,D000922,5,5
D001798,D001798,0,0
D001798,D007136,2,2
D001798,D007162,1,1
D001798,D012712,1,1
D001798,D018796,4,4
D001802,D001802,0,0
D001802,D010952,1,1
D001993,D001993,0,0
D002120,D002120,0,0
D002121,D002121,0,0
